latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
47.1724607,27.5814938,661254675,COLEGIUL NATIONAL MIHAI EMINESCU,,,,95079
44.4249731,26.1775909,662296416,SCOALA GENERALA NR 22 MEXIC,,,,179169
44.8437596,25.2498006,663870193,SCOALA GENERALA NR 1 HULUBESTI,,,,67684
44.4317843,26.1711343,663951028,SCOALA GENERALA NR 94,,,,179169
44.4279152,26.1719944,663951029,SCOALA GENERALA NR 21 LIVIU REBREANU,,,,179169
44.4471263,26.1426878,667747312,SCOALA GIMNAZIALA FERDINAND I,,16,Bulevardul Garii Obor,179150
47.17309,27.578575,669502939,SCOALA MIHAIL KOGALNICEANU,,,,95079
45.8168868,24.291999,670044707,,,,,0
46.9981402,24.6030156,676502698,SCOALA GENERALA,,,,34654
47.1944645,27.4170684,678906534,SCOALA GENERALA I VIII LETCANI,,,,97688
47.1826196,27.5689721,686512109,COLEGIUL TEHNIC GHEORGHE ASACHI,,,,95079
44.4292717,26.2023922,686660006,SCOALA GENERALA NR 55,,46,Soseaua Industriilor,179169
44.4403981,26.1785249,686667289,SCOALA NR 66,,,,179150
47.1666232,27.5925699,692767601,COLEGIUL RICHARD WURMBRAND,,,,95079
47.577786,21.9317916,703828486,LICEUL TEORETIC ADY ENDRE COMPLEXUL URSULINELOR,,,Strada Moscovei,0
47.561925,21.9278327,703830752,SCOALA GENERALA,,,,0
44.1920879,27.3622527,706747607,COLEGIUL TEHNIC STEFAN BANULESCU CALARASI,,,,92578
44.2758777,27.1614318,717715867,SCOALA CU CLASELE I VIII,,,,93780
44.275361,27.1606693,717715884,SCOALA CU CLASELE I VIII,,,,93780
46.8278438,21.6777768,725040944,SCOALA GENERALA,,,,30023
46.7993274,21.640056,725663170,LICEUL AGRICOL,,,,26984
46.8014162,21.6601782,725672519,SCOALA GENERALA,,,,26984
46.7447931,23.4852344,727700810,SCOALA GIMNAZIALA GHEORGHE SINCAI,,,,57715
44.2802274,24.9905041,730548131,SCOALA GENERALA I IV PLOPI,,,,152840
45.4431289,25.3305711,739450234,SCOALA GENERALA,,,,41523
47.656579,25.4926067,742227602,SCOALA GENERALA NR 1,,,,0
46.7768282,23.5862552,752792100,SCOALA HOREA,,,Strada Horea,54984
44.4385875,26.233697,755903243,SCOALA GENERALA NR 310,,,,179524
47.1478437,27.5763326,764840939,GRUP SCOLAR ION HOLBAN,,16,Strada Pantelimon Halipa,95079
47.787977,22.8574178,773473998,SCOALA DARIU POP,,,,136492
46.86561,25.151471,799418663,,,,,0
44.4321906,26.262815,807052060,SCOALA CU CLASELE 18 NR 142,,,,0
45.1585208,26.8216866,836177110,SCOALA NR 11,,,,44827
45.4117091,27.9221397,843324739,SCOALA GIMNAZIALA,,,,75123
45.6593823,25.5929366,845704148,SCOALA NR 15 CORP B,,2,Strada Plevnei,40205
47.6052356,22.3633825,860220866,,,,,138510
47.8381161,26.7569147,863622583,SCOALA MANASTIRENI,,,,39578
43.817427,28.2084686,864302143,LICEUL TEORETIC NEGRU VODA,,,,62404
46.410373,25.2792624,879012496,SCOALA GENERALA,,,,0
47.6998715,24.1126145,879129764,,,,,107500
47.9726098,23.6967291,880134734,SCOALA GENERALA SAPANTA,,,,108954
47.6588956,24.349514,880178056,SCOALA MIHAI EMINESCU,,,,108909
47.6889128,24.2704779,880188420,,,,,107412
45.6254202,25.4788387,880858099,SCOALA GENERALA,,,,40919
44.45467,26.73096,885619255,LICEUL TEORETIC ION NECULCE,,,,0
44.3407976,27.913941,892706054,SCOALA CLASELE I VIII,,,,0
44.3472344,27.728925,892706055,,,,,0
47.4298712,26.8975865,893141844,,,,,95364
44.4085987,27.8212986,897622503,,,,,92738
45.4747391,27.9433072,902401585,SCOALA GIMNAZIALA SMARDAN,,,,77233
44.2376058,26.4671117,904341503,GRADINITA,,,,101467
44.8567932,24.8800639,906648696,SCOALA GENERALA NR 5 NICOLAE IORGA,,,,13178
46.3467909,22.9089619,913202606,,,,,8719
47.186925,23.545813,914507010,MIHAI EMINESCU,,,,0
44.4967417,26.57137,919559390,INTERNATIONAL SCHOOL FOR PRIMARY EDUCATION,,72,Strada Petre S Aurelian,0
44.4879702,26.522342,923488368,SCOALA SPECIALA NR 8,,,,0
44.43385,26.424504,949776449,LICEUL TEORETIC TUDOR VLADIMIRESCU,,,,0
45.6324929,23.2152925,954599996,SCOALA PRIMARA GRADISTE,,,,90397
44.1925123,27.3319259,954628460,SCOALA NR 4 CAROL I GIMNAZIUL,,,,92578
44.4945608,26.261258,959137490,SCOALA NR 181,,,,0
44.9325002,26.288858,984758344,LICEUL PEDAGOGIC,,,,0
47.1684151,27.593232,985225464,SCOALA SPECIALA CONSTANTIN PAUNESCU,,11 15,Bulevardul C A Rosetti,95079
46.2969222,25.2882152,987439662,LICEUL SPIRU HARET,,2,Strada Budvár,83142
43.8558612,24.2913662,1002173767,SCOALA GENERALA I VIII,,,,129638
47.4292668,24.3964664,1015951980,,,,,35063
46.2185501,24.3573216,1071447172,SCOALA GENERALA,,,,144321
46.2174444,24.3574886,1071447187,SCOALA VECHE,,,,144321
46.1658533,24.3510105,1073214711,LICEUL STEPHAN LUDWIG ROTH,,,,143628
46.165477,24.3510765,1073214737,SCOALA HERMANN OBERTH,,,,143628
44.4421185,26.1557536,1077600589,SCOALA GENERALA NR 51,,1,Strada Herta,179150
44.4390322,26.1553422,1077666580,SCOALA GIMNAZIALA NR 4,,14A,Strada Herta,179150
44.4335081,26.1946462,1077805596,SCOALA GENERALA NR 67,,1,Strada Magnetului,179169
44.4355382,26.2011962,1077813934,SCOALA GENERALA NR 78,,50,Soseaua Garii Catelu,179169
44.4291717,26.2131588,1077830150,SCOALA GENERALA NR 47,,130,Soseaua Garii Catelu,179169
47.6860348,22.470918,1081234419,SCOALA VASILE LUCACIU,,,,136535
45.3776807,27.476124,1125550442,COLEGIUL NATIONAL ALEXANDRU VLAHUTA,Liceul de Baieti Regele Ferdinand,,,0
46.3774338,25.8013763,1189668407,XANTUS JANOS,,,,83339
47.5783469,26.6346188,1211195288,,,,,39881
44.4062615,26.950695,1213018252,COLEGIULUI TEHNOLOGIC GRIGORE CERCHEZ,,,,0
47.659764,24.3577957,1216004288,SCOALA GENERALA MIHAI EMINESCU,,,,108909
47.6592386,24.3590898,1216019021,SCOALA GENERALA MIHAI EMINESCU,,,,108909
45.7093388,24.1435947,1221343530,SCOALA NR 3,,,,143744
45.7125603,24.1502466,1221344264,LICEUL GUSTAV GUNDISCH,,,,143744
45.7180763,24.1560487,1221345252,SCOALA NR 1,,,,143744
45.7149125,24.1455688,1221347482,SCOALA NR 2,,,,143744
47.8374052,26.6062351,1236476062,SCOALA DE ARTE SI MESERII ROMA,,,,38820
47.8282789,26.6069815,1236476152,SCOALA CU CLASELE I IV ROMA 2,,,,38820
47.8374514,26.6250476,1236476193,SCOALA CU CLASELE I IV ROMA 3,,,,38820
47.8367963,26.6080033,1236476205,SCOALA CU CLASELE I IV ROMA 1,,,,38820
47.6406156,26.5772748,1244635551,,,,,36765
45.376562,27.9293764,1248861305,SCOALA CU CLASELE I VIII,,,,44408
44.1970156,27.3904198,1258004171,SCOALA NR 2,,,,92596
44.1940841,27.383514,1258004210,SCOALA NR 1,,,,92596
47.20954,27.5579687,1261169070,,,,,98523
44.5506929,26.709852,1263254336,LICEUL TEORETIC IOAN PETRUS,,,,0
47.2164385,27.5042499,1267082775,SCOALA REDIU,,,,95248
44.9400623,25.9988817,1272415082,SCOALA NR 2,,,,130543
