COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
,1462103321,1461100526,458831,64318,64327,1462103321,COVASNA,,,725,Grădinița cu Program Prelungit Ghelința,GRADINITA CU PROGRAM PRELUNGIT GHELINTA,GHELINŢA,,0,0,Principală,
,2862102664,2861104553,,127983,128043,2862102664,OLT,,,,GRADINITA CU PROGRAM NORMAL TOMENI,GRADINITA CU PROGRAM NORMAL TOMENI,TOMENI,,0,0,,
,3062100527,3061101424,,136768,136786,3062100527,SATU MARE,,,201,ȘCOALA PRIMARĂ DINDEȘTI,SCOALA PRIMARA DINDESTI,DINDEŞTI,,0,0,SCOLII,
,0462106738,0461108134,,26338,20732,0462106738,BACĂU,46.2244308843477,26.7849695930754,1,SCOALA GIMNAZIALA RACAUTI,SCOALA GENERALA RACAUTI,RĂCĂUŢI,,ȘCOALA GIMNAZIALĂ RĂCĂUȚI,100,PRINCIPALA,
4165699,3661100364,,718437,159730,159749,3661100364,TULCEA,45.2424335,28.1348188768752,19,"LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MĂCIN",LICEUL TEORETIC GHEORGHE MUNTEANU MURGOCI MACIN,MĂCIN,297509843,0,0,Cetății,
,1362104079,1361101171,,60945,60963,1362104079,CONSTANŢA,43.8393713215296,28.4642031096364,,ŞCOALA PRIMARĂ NR. 2 ARSA,SCOALA PRIMARA NR 2 ARSA,ARSA,,ȘCOALA PRIMARĂ NR. 2 ARSA,100,,
25110165,0761104487,,389195,37459,37468,0761104487,BOTOŞANI,47.7796432304927,26.8601025680258,,SCOALA GIMNAZIALA NR.1 GORBANESTI,SCOALA GENERALA NR 1 GORBANESTI,GORBĂNEŞTI,,SCOALA GORBANESTI,71,GORBANESTI,
24245202,0861101496,,394528,41088,41097,0861101496,BRAŞOV,,,,Grădinița cu Program Normal Nr. 1 Hărman,GRADINITA CU PROGRAM NORMAL NR 1 HARMAN,HĂRMAN,,0,0,STEFAN CEL MARE 294,
,3362101225,3361103227,,149753,149762,3362101225,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL PALTINOASA,GRADINITA CU PROGRAM NORMAL PALTINOASA,PĂLTINOASA,,0,0,,
,1062103214,1061104165,,48325,48414,1062103214,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT MUSCEL ORAŞ PĂTÂRLAGELE,GRADINITA CU PROGRAM NORMAL SAT MUSCEL ORAS PATARLAGELE,MUŞCEL,,0,0,,
,1662100188,1661101854,,74411,74475,1662100188,DOLJ,,,,SCOALA PRIMARA TARTAL,SCOALA PRIMARA TARTAL,ŢĂRŢĂL,,0,0,,
,0162104478,0161103111,,3039,3164,0162104478,ALBA,,,,GRADINITA CU PROGRAM NORMAL GIRDE,GRADINITA CU PROGRAM NORMAL GIRDE,GÂRDE,,0,0,,
,3762102898,3761104602,,164393,164446,3762102898,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT BUSCATA",GRADINITA CU PROGRAM NORMAL SAT BUSCATA,BUSCATA,,0,0,,
,1662101596,1661104346,,72506,72515,1662101596,DOLJ,,,,GRADINITA CU PROGRAM NORMAL GIUBEGA,GRADINITA CU PROGRAM NORMAL GIUBEGA,GIUBEGA,,0,0,,
,0762102128,0761104781,,35731,35740,0762102128,BOTOŞANI,,,11,GRADINITA CU PROGRAM PRELUNGIT NR. 25 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 25 BOTOSANI,BOTOŞANI,,0,0,ARMEANA,
23141440,0461108003,,351916,26029,26038,0461108003,BACĂU,,,,SCOALA GIMNAZIALA URECHESTI,SCOALA GENERALA URECHESTI,URECHEŞTI,,0,0,,
,2862103647,2861100739,,125542,125551,2862103647,OLT,43.7740199259589,24.51304831419,,"SCOALA GIMNAZIALA ""DUMITRU BUZDUN"" CORABIA",SCOALA GENERALA DUMITRU BUZDUN CORABIA,CORABIA,,ȘCOALA GIMNAZIALĂ DUMITRU BUZDUN,88,,
,2462103662,2461100157,,108473,108482,2462103662,MARAMUREŞ,47.8241534310754,24.4486687198647,,SCOALA GIMNAZIALA NR. 3 POIENILE DE SUB MUNTE,SCOALA GENERALA NR 3 POIENILE DE SUB MUNTE,POIENILE DE SUB MUNTE,,ȘCOALA GIMNAZIALĂ NR. 4 HORB POIENILE DE SUB MUNTE,92,CVASNITA,
