COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
,2662102468,2661105195,,115771,115806,2662102468,MUREŞ,,,66,GRĂDINIȚA CU PROGRAM NORMAL NANDRA - MĂLĂIŞTE,GRADINITA CU PROGRAM NORMAL NANDRA  MALAISTE,NANDRA,,PRINCIPALĂ,
29041017,2561102022,,589628,110027,110036,2561102022,MEHEDINŢI,,,216,ȘCOALA GIMNAZIALĂ OBÂRȘIA CLOȘANI,SCOALA GIMNAZIALA OBARSIA CLOSANI,OBÂRŞIA-CLOŞANI,,VALEA MARE,
,0462100438,0461108075,,20563,20572,0462100438,BACĂU,,,,GRADINITA CU PROGRAM NORMAL NR 4 ONESTI,GRADINITA CU PROGRAM NORMAL NR 4 ONESTI,ONEŞTI,,DACIEI NR 2,
4278434,0461107671,,343000,20876,20885,0461107671,BACĂU,,,,"COLEGIUL TEHNIC ""GRIGORE COBALCESCU""MOINESTI",COLEGIUL TEHNIC GRIGORE COBALCESCUMOINESTI,MOINEŞTI,,GEORGE ENESCU NR 2,
,3962104047,3961105419,,177003,177012,3962104047,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL NISTORESTI,GRADINITA CU PROGRAM NORMAL NISTORESTI,NISTOREŞTI,,Principala,
2679685,1861105638,,844657,77812,77821,1861105638,GORJ,45.0661919,23.2938473,342,"COLEGIUL AUTO ""TRAIAN VUIA"" TG-JIU",COLEGIUL AUTO TRAIAN VUIA TG JIU,TÂRGU JIU,1893391760,STR. ECATERINA TEODOROIU,
,0662100426,0661101142,372013,32884,32937,0662100426,BISTRIŢA-NĂSĂUD,,,163,GRĂDINIȚA CU PROGRAM NORMAL PETRIȘ,GRADINITA CU PROGRAM NORMAL PETRIS,PETRIŞ,,Principală,
,1862102834,1861106327,,79932,80025,1862102834,GORJ,,,,"GRADINITA CU PROGRAM NORMAL URDA DE JOS, CRUSET",GRADINITA CU PROGRAM NORMAL URDA DE JOS CRUSET,URDA DE JOS,,,
14265679,2061203413,,,86687,86696,2061203413,HUNEDOARA,45.887249,22.901081281009,3,"ȘCOALA POSTLICEALĂ SANITARĂ ""HENRI COANDĂ"" DEVA",SCOALA POSTLICEALA SANITARA HENRI COANDA DEVA,DEVA,87336191,Sever Axente,
,1962101492,1961104572,,83981,83990,1962101492,HARGHITA,,,550,GRĂDINIȚA CINOD,GRADINITA CINOD,CIUCSÂNGEORGIU,,PRINCIPALĂ,
,0262102547,0261101234,320175,11735,11753,0262102547,ARAD,,,30,SCOALA PRIMARA VARSAND,SCOALA PRIMARA VARSAND,VĂRŞAND,,,
,1162101301,1161104082,791427,54617,54680,1162101301,CARAŞ-SEVERIN,,,40,GRĂDINIŢA CU PROGRAM NORMAL 23 AUGUST,GRADINITA CU PROGRAM NORMAL 23 AUGUST,23.aug,,NU ARE,
4304622,1361105469,,131226405,60482,60491,1361105469,CONSTANŢA,43.80452325,28.57484275,19,LICEUL TEHNOLOGIC ’ION BĂNESCU’ MANGALIA,LICEUL TEHNOLOGIC ION BANESCU MANGALIA,MANGALIA,220490291,NEGRU VODĂ,
,0362102627,0361103881,,18028,18135,0362102627,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL PĂDUROIU DEAL,GRADINITA CU PROGRAM NORMAL PADUROIU DEAL,PĂDUROIU DIN DEAL,,PITESTI-DRAGASANI DN 67 B,
23590202,1361100473,,130451871,60507,60516,1361100473,CONSTANŢA,,,14,ŞCOALA GIMNAZIALĂ ’GRIGORE MOISIL’ NĂVODARI,SCOALA GIMNAZIALA GRIGORE MOISIL NAVODARI,NĂVODARI,,PLOPILOR,
4485626,1261103826,,120447624,55446,55455,1261103826,CLUJ,46.8593433,23.0256908,41,ȘCOALA GIMNAZIALĂ SPECIALĂ HUEDIN,SCOALA GIMNAZIALA SPECIALA HUEDIN,HUEDIN,4421867649,Avram Iancu,
,3561200178,,353359323,155243,155252,3561200178,TIMIŞ,,,25,"SCOALA PRIMARA ""ED VERTIGO"" MUN.TIMISOARA",SCOALA PRIMARA ED VERTIGO MUN TIMISOARA,TIMIŞOARA,,ULPIA TRAIANA,
29094127,0761104867,,1102776,35731,35740,0761104867,BOTOŞANI,,,8,SCOALA GIMNAZIALA NR 12 BOTOSANI,SCOALA GIMNAZIALA NR 12 BOTOSANI,BOTOŞANI,,PRIETENIEI,
25540570,0861204651,,82325088,40438,40447,0861204651,BRAŞOV,,,40,Grădinița 'Rază de Soare' Săcele,GRADINITA RAZA DE SOARE SACELE,SĂCELE,,Gorunului,
,1762103131,1761100553,,77475,77493,1762103131,GALAŢI,,,,"SCOALA PRIMARA NR.1, SAT MINDRESTI, COMUNA VALEA MARULUI",SCOALA PRIMARA NR 1 SAT MINDRESTI COMUNA VALEA MARULUI,MÂNDREŞTI,,,
3797204,5161100801,,539867,92569,92578,5161100801,CĂLĂRAŞI,,,,COLEGIUL ECONOMIC CALARASI,COLEGIUL ECONOMIC CALARASI,CĂLĂRAŞI,,1 DECEMBRIE 1918 NR.88,
,3562103441,3561106358,,157317,157335,3562103441,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL CRAI NOU COM.GIULVAZ,GRADINITA CU PROGRAM NORMAL CRAI NOU COM GIULVAZ,CRAI NOU,,,
,3962104531,3961105256,,176338,176392,3962104531,VRANCEA,,,1,"SCOALA PRIMARA ""NICOLAE V. BALAN"" LACU LUI BABAN",SCOALA PRIMARA NICOLAE V BALAN LACU LUI BABAN,LACU LUI BABAN,,Principala,
23005350,3861100931,,1006245,168372,168381,3861100931,VÂLCEA,,,,LICEUL GEORGE TARNEA,LICEUL GEORGE TARNEA,BĂBENI,,,
17166564,2261104978,,550275,97777,97786,2261104978,IAŞI,,,,"ȘCOALA GIMNAZIALĂ, MĂDÎRJAC",SCOALA GIMNAZIALA MADIRJAC,MĂDÂRJAC,,,
,3962101781,3961100631,,178180,178206,3962101781,VRANCEA,,,32,GRADINITA CU PROGRAM NORMAL BATINESTI,GRADINITA CU PROGRAM NORMAL BATINESTI,BĂTINEŞTI,,Principala,
,0862102208,0861100043,,41738,41774,0862102208,BRAŞOV,,,,Grădinița cu Program Normal Gura Văii,GRADINITA CU PROGRAM NORMAL GURA VAII,GURA VĂII,,,
29055349,2961100154,,636897,131817,131826,2961100154,PRAHOVA,,,3,"ȘCOALA GIMNAZIALĂ ""ING. GHEORGHE PĂNCULESCU"", ORAȘUL VĂLENII DE MUNTE",SCOALA GIMNAZIALA ING GHEORGHE PANCULESCU ORASUL VALENII DE MUNTE,VĂLENII DE MUNTE,,ALUNILOR,
35005604,4061207412,,409485825,179132,179169,4061207412,MUNICIPIUL BUCUREŞTI,44.4120899,26.1626661,16,"Școala Primară ""Ana Lugojana""",SCOALA PRIMARA ANA LUGOJANA,BUCUREŞTI SECTORUL 3,2874089901,Ilioara,
28949774,1161104028,,424402,51243,51243,1161104028,CARAŞ-SEVERIN,,,69,ŞCOALA GIMNAZIALĂ ARMENIŞ,SCOALA GIMNAZIALA ARMENIS,ARMENIŞ,,PRINCIPALĂ,
,2262102777,2261104571,1148005 ,96192,96227,2262102777,IAŞI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, DELENI",GRADINITA CU PROGRAM NORMAL DELENI,DELENI,,,
,3162101409,3161100937,,141447,141526,3162101409,SĂLAJ,,,76,ȘCOALA PRIMARĂ TRESTIA,SCOALA PRIMARA TRESTIA,TRESTIA,,Pincipală,
4340137,4061102567,,985573,179132,179150,4061102567,MUNICIPIUL BUCUREŞTI,44.4379153,26.1204944,165,Colegiul Economic ”A.D.Xenopol”,COLEGIUL ECONOMIC A D XENOPOL,BUCUREŞTI SECTORUL 2,1741318877,Traian,
,3962102312,3961100441,,175670,175689,3962102312,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL NR.1 CAMPURI,GRADINITA CU PROGRAM NORMAL NR 1 CAMPURI,CÂMPURI,,Principala,
,1362103987,1361100586,,61372,61425,1362103987,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL RÂMNICU DE JOS,GRADINITA CU PROGRAM NORMAL RAMNICU DE JOS,RÂMNICU DE JOS,,,
,1862104135,1861106033,,82396,82403,1862104135,GORJ,,,,GRADINITA CU PROGRAM NORMAL NR.1 TELESTI,GRADINITA CU PROGRAM NORMAL NR 1 TELESTI,TELEŞTI,,,
,0562106854,0561100839,360632,27329,27347,0562106854,BIHOR,,,95,ŞCOALA GIMNAZIALĂ NR.2 ALMAŞU MARE,SCOALA GIMNAZIALA NR 2 ALMASU MARE,ALMAŞU MARE,,Principala,
,1562103048,1561100918,,65707,65725,1562103048,DÂMBOVIŢA,,,1,GRĂDINIȚA CU PROGRAM NORMAL BUMBUIA GURA FOII,GRADINITA CU PROGRAM NORMAL BUMBUIA GURA FOII,BUMBUIA,,PRINCIPALĂ,
19146504,5261100989,,567668,103372,103381,5261100989,GIURGIU,,,,SCOALA GIMNAZIALA NR.1 GOSTINARI,SCOALA GIMNAZIALA NR 1 GOSTINARI,GOSTINARI,,,
,0762101448,0761104935,,36453,36462,0762101448,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL ’’PRICHINDEII’’ BUCECEA,GRADINITA CU PROGRAM NORMAL PRICHINDEII BUCECEA,BUCECEA,,BUCECEA,
,0262104237,0261100025,321131,9627,9636,0262104237,ARAD,,,,GRADINITA PP NR 1 NADLAC,GRADINITA PP NR 1 NADLAC,NĂDLAC,,,
29119493,1761104697,,494952,75098,75105,1761104697,GALAŢI,,,190,"SCOALA GIMNAZIALA ""ELENA CUZA"", LOCALITATEA GALATI",SCOALA GIMNAZIALA ELENA CUZA LOCALITATEA GALATI,GALAŢI,,G-RAL AL.CERNAT,
,2962106445,2961100172,639007,134648,134728,2962106445,PRAHOVA,,,1A,"ȘCOALA GIMNAZIALĂ, SAT VALEA PLOPULUI, COMUNA POSEȘTI",SCOALA GIMNAZIALA SAT VALEA PLOPULUI COMUNA POSESTI,VALEA PLOPULUI,,PRINCIPALĂ,
29134124,2561101889,,590756,113849,113858,2561101889,MEHEDINŢI,,,89,ȘCOALA GIMNAZIALĂ VÂNĂTORI,SCOALA GIMNAZIALA VANATORI,VÂNĂTORI,,PRINCIPALĂ,
,0162103694,0161103441,,7044,7053,0162103694,ALBA,,,337,GRADINITA CU PROGRAM NORMAL SALISTEA,GRADINITA CU PROGRAM NORMAL SALISTEA,SĂLIŞTEA,,DAVID PRODAN,
,0562105853,0561100233,361882,28665,28692,0562105853,BIHOR,,,493,ŞCOALA GIMNAZIALĂ NR.2 GHIORAC,SCOALA GIMNAZIALA NR 2 GHIORAC,GHIORAC,,principala,
29418037,0861100961,,395948,40438,40447,0861100961,BRAŞOV,,,110,Liceul Teoretic 'George Moroianu' Săcele,LICEUL TEORETIC GEORGE MOROIANU SACELE,SĂCELE,,G. MOROIANU,
,2662100362,2661105281,,116652,116698,2662100362,MUREŞ,,,22,ȘCOALA PRIMARĂ ICLAND,SCOALA PRIMARA ICLAND,ICLAND,,PRINCIPALĂ,
17415835,3061101487,,300653314,137675,137684,3061101487,SATU MARE,,,295,ȘCOALA GIMNAZIALĂ DOROLȚ,SCOALA GIMNAZIALA DOROLT,DOROLŢ,,PRINCIPALA,
4297738,3921100326,,753217,174744,174753,3921100326,VRANCEA,,,5,INSPECTORATUL SCOLAR JUDETEAN VRANCEA,INSPECTORATUL SCOLAR JUDETEAN VRANCEA,FOCŞANI,,Dornei,
,3562103771,3561101864,,159339,159357,3562103771,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL FOLEA COM.VOITEG,GRADINITA CU PROGRAM NORMAL FOLEA COM VOITEG,FOLEA,,,
,2962105643,2961100136,641402,131835,131862,2962105643,PRAHOVA,,,85,"GRĂDINIȚA CU PROGRAM NORMAL, SAT FĂGETU, COMUNA GURA VITIOAREI",GRADINITA CU PROGRAM NORMAL SAT FAGETU COMUNA GURA VITIOAREI,FĂGETU,,PRINCIPALĂ,
13953599,3761104647,,733360,161794,161801,3761104647,VASLUI,,,,"ȘCOALA GIMNAZIALĂ ""MANOLACHE COSTACHE EPUREANU"", MUN. BÂRLAD",SCOALA GIMNAZIALA MANOLACHE COSTACHE EPUREANU MUN BARLAD,BÂRLAD,,,
,2262100608,2261106383,3011323,96717,96753,2262100608,IAŞI,,,,"ȘCOALA PRIMARĂ, BUZDUG",SCOALA PRIMARA BUZDUG,BUZDUG,,,
,2262102429,2261102506,552962,99600,99655,2262102429,IAŞI,,,,"ȘCOALA PRIMARĂ, VLADOMIRA",SCOALA PRIMARA VLADOMIRA,VLADOMIRA,,,
12956848,2061100638,,526262,87077,87086,2061100638,HUNEDOARA,45.4441851,23.3806126,5,"ŞCOALA GIMNAZIALĂ ""ION DESIDERIU SÎRBU"" PETRILA",SCOALA GIMNAZIALA ION DESIDERIU SIRBU PETRILA,PETRILA,2754415656,TUDOR VLADIMIRESCU,
,5162102441,5161100905,,102945,102972,5162102441,CĂLĂRAŞI,,,,GRADINITA PROG .NORMAL NR. 4 PASAREA,GRADINITA PROG NORMAL NR 4 PASAREA,PASĂREA,,,
4317592,0861101383,,395742,40241,40250,0861101383,BRAŞOV,,,13,Școala Gimnazială Nr. 2 Codlea,SCOALA GIMNAZIALA NR 2 CODLEA,CODLEA,,NUFERILOR,
,3062100726,3061101365,,137504,137522,3062100726,SATU MARE,,,,ȘCOALA PRIMARĂ IEGHERIȘTE,SCOALA PRIMARA IEGHERISTE,IEGHERIŞTE,,PRINCIPALA NR.100,
,1062106027,1061104183,415085,49769,49803,1062106027,BUZĂU,,,,ŞCOALA GIMNAZIALĂ SAT DEDULEŞTI COMUNA TOPLICENI,SCOALA GIMNAZIALA SAT DEDULESTI COMUNA TOPLICENI,DEDULEŞTI,,,
,5162102111,5161101078,,105222,105240,5162102111,CĂLĂRAŞI,,,,GRADINITA PROG. NORMAL NR.2 PROGRESU,GRADINITA PROG NORMAL NR 2 PROGRESU,PROGRESU,,,
,2262103629,2261102705,549927,97553,97599,2262103629,IAŞI,,,,"ȘCOALA PRIMARĂ, CUZA-VODĂ",SCOALA PRIMARA CUZA VODA,CUZA VODĂ,,,
16414831,1461100399,,461747,65113,64924,1461100399,COVASNA,,,34,"Școala Gimnazială ""Dr. Gelei József"" Arcuș",SCOALA GIMNAZIALA DR GELEI JÓZSEF ARCUS,ARCUŞ,,Br. Szentkereszthy Béla,
,3762107166,3761104294,,164062,164071,3762107166,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT GÂRCENI",GRADINITA CU PROGRAM NORMAL SAT GARCENI,GÂRCENI,,,
,0352104999,0371100182,300608,13301,13310,0352104999,ARGEŞ,,,,CLUBUL COPIILOR MIOVENI,CLUBUL COPIILOR MIOVENI,MIOVENI,,Mioveni,
,1062103051,1061104509,,50479,50503,1062103051,BUZĂU,,,,ŞCOALA PRIMARĂ SAT CUCULEASA COMUNA ZIDURI,SCOALA PRIMARA SAT CUCULEASA COMUNA ZIDURI,CUCULEASA,,,
29161820,3561101846,,713657,158136,158145,3561101846,TIMIŞ,,,98,SCOALA GIMNAZIALA COM.PIETROASA,SCOALA GIMNAZIALA COM PIETROASA,PIETROASA,,PRINCIPALA,
,1162100164,1161103443,423173,51840,51868,1162100164,CARAŞ-SEVERIN,,,,ŞCOALA PRIMARĂ ŞTINĂPARI,SCOALA PRIMARA STINAPARI,ŞTINĂPARI,,,
,2262102117,2261104598,550146,97679,97697,2262102117,IAŞI,,,,"ȘCOALA PRIMARĂ, BOGONOS",SCOALA PRIMARA BOGONOS,BOGONOS,,,
,1562100633,1561101105,,66857,66884,1562100633,DÂMBOVIŢA,,,42,GRĂDINIȚA CU PROGRAM NORMAL NR.1 GROZĂVEȘTI CORBII MARI,GRADINITA CU PROGRAM NORMAL NR 1 GROZAVESTI CORBII MARI,GROZĂVEŞTI,,LUNGĂ,
,1662103526,1661104622,,70502,70511,1662103526,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 1 SEGARCEA,GRADINITA CU PROGRAM NORMAL NR 1 SEGARCEA,SEGARCEA,,,
,2862103403,2861101202,,128560,128579,2862103403,OLT,,,,GRADINITA CU PROGRAM NORMAL NR.1 ROTUNDA,GRADINITA CU PROGRAM NORMAL NR 1 ROTUNDA,ROTUNDA,,,
28098015,3961100884,,758671,178929,177860,3961100884,VRANCEA,,,217,SCOALA GIMNAZIALA NR.1 BILIESTI,SCOALA GIMNAZIALA NR 1 BILIESTI,BILIEŞTI,,Principala,
31994197,0461207823,,2126262,20297,20304,0461207823,BACĂU,,,,"GRADINITA CU PROGRAM PRELUNGIT ""OBLIO"" BACAU",GRADINITA CU PROGRAM PRELUNGIT OBLIO BACAU,BACĂU,,MIRON COSTIN NR 11,
,3962104454,3961105324,,177600,177619,3962104454,VRANCEA,,,33,GRADINITA CU PROGRAM NORMAL SIHLEA,GRADINITA CU PROGRAM NORMAL SIHLEA,SIHLEA,,Alecu Sihleanu,
29166649,0461107246,,348969,24276,24329,0461107246,BACĂU,,,,"SCOALA GIMNAZIALA ""VASILE GH.RADU"" SATU NOU",SCOALA GIMNAZIALA VASILE GH RADU SATU NOU,SATU NOU,,,
,0162105348,0161103097,,7767,7794,0162105348,ALBA,,,276,"SCOALA GIMNAZIALA ""VASILE BOLOGA"" GEOAGIU DE SUS",SCOALA GIMNAZIALA VASILE BOLOGA GEOAGIU DE SUS,GEOAGIU DE SUS,,PRINCIPALĂ,
,1162102374,1161103877,,54270,54298,1162102374,CARAŞ-SEVERIN,,,,ŞCOALA GIMNAZIALĂ RUSCA TEREGOVA,SCOALA GIMNAZIALA RUSCA TEREGOVA,RUSCA,,,
13605748,2361101467,,400564032,102570,102589,2361101467,ILFOV,,,85,"ȘCOALA GIMNAZIALĂ ""GHEORGHE CORNELIU""",SCOALA GIMNAZIALA GHEORGHE CORNELIU,DOMNEŞTI,,ALEXANDRU IOAN CUZA,
,3862104252,3861100587,,174021,174030,3862104252,VÂLCEA,,,,SCOALA PRIMARA,SCOALA PRIMARA,VAIDEENI,,,
17130331,2261106193,,546614,95391,95408,2261106193,IAŞI,,,,"ȘCOALA GIMNAZIALĂ, LUNCA",SCOALA GIMNAZIALA LUNCA,PAŞCANI,,MIHAI VITEAZU 172,
,1062104884,1061104907,417069,44818,44827,1062104884,BUZĂU,,,,"GRĂDINIŢA CU PROGRAM NORMAL ""CĂSUŢA PITICILOR"" MUNICIPIUL BUZĂU",GRADINITA CU PROGRAM NORMAL CASUTA PITICILOR MUNICIPIUL BUZAU,BUZĂU,,"STR.INDEPENDENTEI, NR.81",
,0162103961,0161102996,,6271,6299,0162103961,ALBA,,,,GRADINITA CU PROGRAM NORMAL COSTESTI,GRADINITA CU PROGRAM NORMAL COSTESTI,COSTEŞTI,,,
29109147,1761104349,,496613,76718,76727,1761104349,GALAŢI,,,,"SCOALA GIMNAZIALA ""GHEORGHE POALELUNGI"", COMUNA MASTACANI",SCOALA GIMNAZIALA GHEORGHE POALELUNGI COMUNA MASTACANI,MĂSTĂCANI,,,
4627283,3761100123,,832245,161829,161838,3761100123,VASLUI,,,,"COLEGIUL AGRICOL ""DIMITRIE CANTEMIR"", MUN. HUŞI",COLEGIUL AGRICOL DIMITRIE CANTEMIR MUN HUSI,HUŞI,,,
17250885,2261102569,,554568,95159,95168,2261102569,IAŞI,,,,"ȘCOALA PROFESIONALĂ, HOLBOCA",SCOALA PROFESIONALA HOLBOCA,HOLBOCA,,,
21616845,2371101585,,1189102,100576,100585,2371101585,ILFOV,,,18,PALATUL COPIILOR SI ELEVILOR ILFOV,PALATUL COPIILOR SI ELEVILOR ILFOV,BUFTEA,,STIRBEY VODA,
28996318,2061100941,,530237,91937,91946,2061100941,HUNEDOARA,,,,ŞCOALA GIMNAZIALĂ VĂLIŞOARA,SCOALA GIMNAZIALA VALISOARA,VĂLIŞOARA,,,
,2062102251,2061103234,,90538,90609,2062102251,HUNEDOARA,,,90,ȘCOALA PRIMARĂ OHABA PONOR,SCOALA PRIMARA OHABA PONOR,OHABA-PONOR,,Principala,
,3362102176,3361103462,,147786,147795,3362102176,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL CORNU LUNCII,GRADINITA CU PROGRAM NORMAL CORNU LUNCII,CORNU LUNCII,,,
,3962104228,3961101008,,177655,177673,3962104228,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL CORNETU,GRADINITA CU PROGRAM NORMAL CORNETU,CORNETU,,Principala,
,0462102363,0461104573,,21855,21873,0462102363,BACĂU,,,,SCOALA GIMNAZIALA SOMUSCA,SCOALA GIMNAZIALA SOMUSCA,SOMUŞCA,,,
,3562103518,3561101846,,158136,158154,3562103518,TIMIŞ,,,9,GRADINITA CU PROGRAM NORMAL CRIVINA COM.PIETROASA,GRADINITA CU PROGRAM NORMAL CRIVINA COM PIETROASA,CRIVINA DE SUS,,PRINCIPALA,
,0162105529,0161103319,,7865,7892,0162105529,ALBA,,,,"SCOALA GIMNAZIALA""GHEORGHE DANCU"" BIIA",SCOALA GIMNAZIALAGHEORGHE DANCU BIIA,BIIA,,,
28082590,1061104102,,414184,47337,47346,1061104102,BUZĂU,,,,ȘCOALA GIMNAZIALĂ COMUNA MĂGURA,SCOALA GIMNAZIALA COMUNA MAGURA,MĂGURA,,,
4326647,3361103358,,6765640,151095,151111,3361103358,SUCEAVA,,,171,LICEUL TEHNOLOGIC SPECIAL BIVOLARIE,LICEUL TEHNOLOGIC SPECIAL BIVOLARIE,BIVOLĂRIA,,STEFAN CEL MARE,
26331687,3361103064,,6948527,146263,146272,3361103064,SUCEAVA,,,2 D,"GRADINITA CU PROGRAM NORMAL ""OBCINI"" SUCEAVA",GRADINITA CU PROGRAM NORMAL OBCINI SUCEAVA,SUCEAVA,,STEJARULUI,
18360312,3361103607,,690879,151077,151086,3361103607,SUCEAVA,,,,SCOALA GIMNAZIALA NR. 2 VICOVU DE JOS REMEZAU,SCOALA GIMNAZIALA NR 2 VICOVU DE JOS REMEZAU,VICOVU DE JOS,,,
,0462103364,0461104582,,26353,25442,0462103364,BACĂU,,,,GRADINITA CU PROGRAM NORMAL ODOBESTI,GRADINITA CU PROGRAM NORMAL ODOBESTI,ODOBEŞTI,,,
28074903,1061104459,,415102,49849,49867,1061104459,BUZĂU,,,,ŞCOALA GIMNAZIALĂ SAT MAXENU COMUNA ŢINTEŞTI,SCOALA GIMNAZIALA SAT MAXENU COMUNA TINTESTI,MAXENU,,,
,3762101635,3761104109,,164339,164348,3762101635,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT IANA",GRADINITA CU PROGRAM NORMAL SAT IANA,IANA,,,
,0462105805,0461108107,,20297,20304,0462105805,BACĂU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 29 BACAU,GRADINITA CU PROGRAM PRELUNGIT NR 29 BACAU,BACĂU,,RADU NEGRU NR 3,
29096527,2561101559,,590134,114079,111809,2561101559,MEHEDINŢI,,,322,ȘCOALA GIMNAZIALĂ VRATA,SCOALA GIMNAZIALA VRATA,VRATA,,PRINCIPALĂ,
,1762103538,1761100277,,75203,75212,1762103538,GALAŢI,,,8,"GRADINITA CU PROGRAM NORMAL ""NEGHINITA"", LOCALITATEA TECUCI",GRADINITA CU PROGRAM NORMAL NEGHINITA LOCALITATEA TECUCI,TECUCI,,ELENA DOAMNA,
,2962106911,2961107428,996651,135547,135609,2962106911,PRAHOVA,,,25,"GRĂDINIȚA CU PROGRAM NORMAL, SAT VISTIERU, COMUNA ȘOTRILE",GRADINITA CU PROGRAM NORMAL SAT VISTIERU COMUNA SOTRILE,VISTIERU,,PRINCIPALĂ,
,3762101323,3761105191,,165611,165700,3762101323,VASLUI,,,,"GRĂDINIȚA CU PROGRAM NORMAL, SAT TOPORĂȘTI",GRADINITA CU PROGRAM NORMAL SAT TOPORASTI,TOPORĂŞTI,,,
,0762101059,0761104908,,35731,35740,0762101059,BOTOŞANI,,,72,GRADINITA CU PROGRAM PRELUNGIT NR. 18 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 18 BOTOSANI,BOTOŞANI,,B-DUL MIHAI EMINESCU,
22533462,1761101328,,495607,75356,75445,1761101328,GALAŢI,,,,"SCOALA GIMNAZIALA NR.1, SAT SLIVNA, COMUNA BERESTI-MERIA",SCOALA GIMNAZIALA NR 1 SAT SLIVNA COMUNA BERESTI MERIA,SLIVNA,,,
3519992,0261100613,,1180314,9262,9271,0261100613,ARAD,,,31,"COLEGIUL TEHNIC ""AUREL VLAICU"" ARAD",COLEGIUL TEHNIC AUREL VLAICU ARAD,ARAD,,"DECEBAL, NR. 31 A",
29356902,0861100382,,779730,40198,40205,0861100382,BRAŞOV,,,125,Colegiul 'Nicolae Titulescu' Brașov,COLEGIUL NICOLAE TITULESCU BRASOV,BRAŞOV,,13.dec,
17145421,2261106225,,546963,95612,95649,2261106225,IAŞI,,,,"ȘCOALA GIMNAZIALĂ, ȘCHEIA",SCOALA GIMNAZIALA SCHEIA,SCHEIA,,,
,2662107645,2661104511,,120370,120405,2662107645,MUREŞ,,,41,ȘCOALA PRIMARĂ BOTEI,SCOALA PRIMARA BOTEI,BOTEI,,BOTEI,
4244822,3361103593,,691287,146263,146272,3361103593,SUCEAVA,,,24,"COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",COLEGIUL NATIONAL PETRU RARES SUCEAVA,SUCEAVA,,MIHAI VITEAZU,
,3362105681,3361107995,,149539,149557,3362105681,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL KM 11 ARGEL,GRADINITA CU PROGRAM NORMAL KM 11 ARGEL,ARGEL,,,
,1962102041,1961104147,520725,84825,84843,1962102041,HARGHITA,,,167,"ȘCOALA GIMNAZIALĂ ""DR.P BENEDEK FIDÉL"" BISERICANI",SCOALA GIMNAZIALA DR P BENEDEK FIDÉL BISERICANI,BISERICANI,,PRINCIPALĂ,
,3462102984,3461100073,,151790,151807,3462102984,TELEORMAN,43.9795677,25.3138358,1,GRĂDINIȚA CU PROGRAM NORMAL NR. 5 ALEXANDRIA,GRADINITA CU PROGRAM NORMAL NR 5 ALEXANDRIA,ALEXANDRIA,1157452676,LIBERTĂȚII,
12929070,0162101995,0161100022,,1017,1035,0162101995,ALBA,,,7,SCOALA GIMNAZIALA BARABANT,SCOALA GIMNAZIALA BARABANT,BĂRĂBANŢ,,CABANEI,
16393488,3861201152,,7013006,167473,167598,3861201152,VÂLCEA,,,,GRADINITA CU PROGRAM PRELUNGIT PITICOT,GRADINITA CU PROGRAM PRELUNGIT PITICOT,GORANU,,,
,0462101475,0461104971,,20910,20929,0462101475,BACĂU,,,,SCOALA GIMNAZIALA NR 2 SLANIC-MOLDOVA,SCOALA GIMNAZIALA NR 2 SLANIC MOLDOVA,SLĂNIC-MOLDOVA,,LALELELOR NR 100,
4527489,3561102087,,714883,155243,155252,3561102087,TIMIŞ,,,11,COLEGIUL TEHNIC DE VEST MUN.TIMISOARA,COLEGIUL TEHNIC DE VEST MUN TIMISOARA,TIMIŞOARA,,B-dul Regele Carol I,
,0862103001,0861100884,,41177,41186,0862103001,BRAŞOV,,,,Grădinița cu Program Normal Hoghiz,GRADINITA CU PROGRAM NORMAL HOGHIZ,HOGHIZ,,,
,1762104186,1761101405,,75098,75105,1762104186,GALAŢI,,,65,"GRADINITA CU PROGRAM PRELUNGIT NR.45, LOCALITATEA GALATI",GRADINITA CU PROGRAM PRELUNGIT NR 45 LOCALITATEA GALATI,GALAŢI,,DOMNEASCA,
