COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
5593758,1261102825,,121181071,54975,54984,1261102825,CLUJ,,,3,"COLEGIUL TEHNIC ""NAPOCA"" CLUJ-NAPOCA",COLEGIUL TEHNIC NAPOCA CLUJ NAPOCA,CLUJ-NAPOCA,,Taberei,
29033960,0261100102,,1185871,9262,9271,0261100102,ARAD,46.1764503,21.3600791798389,248,"GRADINITA PP ""CASUTA PITICILOR"" ARAD",GRADINITA PP CASUTA PITICILOR ARAD,ARAD,200647335,Calea Radnei,
28996253,2061100787,,529070,90262,90271,2061100787,HUNEDOARA,,,,ȘCOALA PRIMARĂ MĂRTINEȘTI,SCOALA PRIMARA MARTINESTI,MĂRTINEŞTI,,,
,0552105916,0571101402,500622,26699,26706,0552105916,BIHOR,,,7A,CLUBUL COPIILOR ȘI ELEVILOR ALEȘD,CLUBUL COPIILOR SI ELEVILOR ALESD,ALEŞD,,Cart. Soimu,
,2662101838,2661104027,,118281,118325,2662101838,MUREŞ,,,80,"ȘCOALA PRIMARĂ ""IOAN IACOB"" LĂURENI",SCOALA PRIMARA IOAN IACOB LAURENI,LĂURENI,,PRINCIPALA,
4568039,3461100091,,832178,151790,151807,3461100091,TELEORMAN,,,69,"LICEUL TEHNOLOGIC ""NICOLAE BĂLCESCU"" ALEXANDRIA",LICEUL TEHNOLOGIC NICOLAE BALCESCU ALEXANDRIA,ALEXANDRIA,,LIBERTĂȚII,
28987514,2561101939,,590495,112879,112888,2561101939,MEHEDINŢI,,,240,"ŞCOALA GIMNAZIALĂ ""CONSTANTIN TRUŞCĂ"" PĂTULELE",SCOALA GIMNAZIALA CONSTANTIN TRUSCA PATULELE,PĂTULELE,,ZILELE RECUNOȘTINȚEI,
,2762103409,2761101981,,123371,123406,2762103409,NEAMŢ,,,43,"ȘCOALA GIMNAZIALĂ NR. 1, SAT RĂDENI, COMUNA PĂSTRĂVENI",SCOALA GIMNAZIALA NR 1 SAT RADENI COMUNA PASTRAVENI,RĂDENI,,PRINCIPALĂ,
,3362101736,3361108119,,148097,148104,3362101736,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL DOLHESTII MARI,GRADINITA CU PROGRAM NORMAL DOLHESTII MARI,DOLHEŞTII-MARI,,,
25299189,2861101057,,628096,126148,126157,2861101057,OLT,,,143,"LICEUL TEHNOLOGIC ""ION POPESCU-CILIENI"" CILIENI",LICEUL TEHNOLOGIC ION POPESCU CILIENI CILIENI,CILIENI,,GENERAL MARCEL OLTEANU,
,2562100169,2561101704,,111097,111177,2562100169,MEHEDINŢI,,,58,SCOALA PRIMARA POIANA,SCOALA PRIMARA POIANA,POIANA,,PRINCIPALĂ,
,3762101169,3761104882,,166529,166547,3762101169,VASLUI,,,,"ȘCOALA GIMNAZIALĂ, SAT BĂDEANA",SCOALA GIMNAZIALA SAT BADEANA,BĂDEANA,,,
,1462103321,1461100526,458831,64318,64327,1462103321,COVASNA,,,725,Grădinița cu Program Prelungit Ghelința,GRADINITA CU PROGRAM PRELUNGIT GHELINTA,GHELINŢA,,Principală,
,2862102664,2861104553,,127983,128043,2862102664,OLT,,,,GRADINITA CU PROGRAM NORMAL TOMENI,GRADINITA CU PROGRAM NORMAL TOMENI,TOMENI,,,
13250149,4061205202,,7340306,179132,179196,4061205202,MUNICIPIUL BUCUREŞTI,44.4377102,26.0370867,22,"Liceul Teoretic ""Phoenix""",LICEUL TEORETIC PHOENIX,BUCUREŞTI SECTORUL 6,1650643555,Fabricii,
,3062100527,3061101424,,136768,136786,3062100527,SATU MARE,,,201,ȘCOALA PRIMARĂ DINDEȘTI,SCOALA PRIMARA DINDESTI,DINDEŞTI,,SCOLII,
,0462106738,0461108134,,26338,20732,0462106738,BACĂU,,,1,SCOALA GIMNAZIALA RACAUTI,SCOALA GIMNAZIALA RACAUTI,RĂCĂUŢI,,PRINCIPALA,
4165699,3661100364,,718437,159730,159749,3661100364,TULCEA,45.2424335,28.1348188768752,19,"LICEUL TEORETIC ""GHEORGHE MUNTEANU MURGOCI"" MĂCIN",LICEUL TEORETIC GHEORGHE MUNTEANU MURGOCI MACIN,MĂCIN,297509843,Cetății,
,1362104079,1361101171,,60945,60963,1362104079,CONSTANŢA,,,,ŞCOALA PRIMARĂ NR. 2 ARSA,SCOALA PRIMARA NR 2 ARSA,ARSA,,,
25110165,0761104487,,389195,37459,37468,0761104487,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 GORBANESTI,SCOALA GIMNAZIALA NR 1 GORBANESTI,GORBĂNEŞTI,,GORBANESTI,
24245202,0861101496,,394528,41088,41097,0861101496,BRAŞOV,,,,Grădinița cu Program Normal Nr. 1 Hărman,GRADINITA CU PROGRAM NORMAL NR 1 HARMAN,HĂRMAN,,STEFAN CEL MARE 294,
