lat,lon,altitude,geometry,,id,amenity,name,created_by,old_name,addr:housenumber,addr:street,int_name,ele,fixme,name:de,addr:city,addr:postcode,is_in:city,is_in:country,is_in:county,operator,phone,note,addr:housename,addr:postcode:source,wheelchair,is_in:country_code,local:picture,source:name,name:ro,addr:country,alt_name,website,name:en,source,building,toilets:wheelchair,description,name:hu,historic,addr:county,email,designation,name:,source:amenity,contact:phone,office,opening_hours,name:am,working
45.7562326,22.9029345,,Point,node/316228226,school,SCOALA GENERALA NR 6,,,1,Piata Florilor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1732727,27.5694686,,Point,node/316394639,school,COLEGIUL NATIONAL COSTACHE NEGRUZZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1173891,24.3539859,,Point,node/316480985,school,LICEUL IONITA ASAN,,,,,Ionita Asan Highschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.145817,22.3605182,,Point,node/317308796,school,,Potlatch 010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1800929,27.6927157,,Point,node/318704395,school,,Potlatch 010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2207614,24.7929104,,Point,node/321978593,school,,,,,,,,,,,,,,,,,Musikschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1284529,24.4837443,,Point,node/324742979,school,SCOALA GENERALA NR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1071302,27.7154062,,Point,node/325917049,school,SCOALA GORUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2327464,24.8212992,,Point,node/329663566,school,ZAHARIA BOIU,,,,,,,,,,,,,,,,Gimnaziu de stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1504572,27.5814881,,Point,node/335640850,school,LICEUL TEORETIC DIMITRIE CANTEMIR,,,,Aleea Decebal,,,,,IaSi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1665508,27.5985132,,Point,node/336595894,school,SCOALA B P HASDEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.2408553,27.692146,,Point,node/336605034,school,SCOALA GOLAIESTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1529632,27.5770813,,Point,node/339817078,school,SCOALA GENERALA NR 21 ION NECULCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.763113,22.9061234,,Point,node/343217111,school,SCOALA GENERALA NR 7,,,7,Strada Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7654422,22.9072838,,Point,node/343217113,school,SCOALA GENERALA NR 8,,,2,Strada Cerbului,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1820899,21.3289971,,Point,node/344315508,school,IULIU MANIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.6343186,25.6055025,,Point,node/353100900,school,SCOALA NR 25,,,24,Bulevardul Valea Cetatii,,,,,Brasov,500289,,,,,,,Scoala 25,"Date de la Posta Româna, publicate sub Licenta pentru Guvernare Deschisa v10 la http://dategovro/organization/posta romana",no,,,,,,,,,,,,,,,,,,,,,,,,,
47.6450223,26.2507273,,Point,node/353194508,school,SCOALA GENERALA 3,,,38,Strada Marasesti,,,,,Suceava,720172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.6413097,26.2389341,,Point,node/353210485,school,,Potlatch 010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.759131,22.9058184,,Point,node/355216684,school,SCOALA GENERALA NR 1,,,14,Bulevardul Ion Corvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7568589,22.9093512,,Point,node/358469494,school,SCOALA GENERALA NR 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7644464,22.9131497,,Point,node/359096315,school,SCOALA GENERALA NR 2,,,1,Strada Luncii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7581609,22.9177145,,Point,node/359099990,school,SCOALA GENERALA NR 10,,,6,Intrarea Spicului,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4186388,26.1706764,,Point,node/360027079,school,SCOALA GENERALA NR 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.3049711,24.3533372,,Point,node/364070465,school,,Potlatch 010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1106453,24.3503864,,Point,node/365326677,school,SCOALA GENERALA NR 2 CARACAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1158449,24.3577463,,Point,node/365332449,school,SCOALA NR 6 CARACAL,,,11,Strada Vasile Alecsandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1564819,27.5683549,,Point,node/366713186,school,SCOALA GENERALA NR 16 MIRCEA CEL BATRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.9892602,28.538974,,Point,node/383428554,school,SCOALA GROZESTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.8598567,26.6344122,,Point,node/385470156,school,SCOALA NICSENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.9256787,26.6560898,,Point,node/386612278,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.8822879,26.6466076,,Point,node/386615604,school,SCOALA DOROBANTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1089094,24.3541321,,Point,node/387262437,school,SCOALA GENERALA NR 7 CARACAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.8906282,26.7905293,,Point,node/388311145,school,SCOALA DE ARTE UNGURENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.190753,26.5103395,,Point,node/389980629,school,SCOALA DUMENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1766619,21.3193048,,Point,node/390341459,school,PALATUL COPIILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1779314,21.3109875,,Point,node/391814406,school,GRUP SCOLAR TRANSPORTURI AUTO HENRI COANDA,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
46.1466693,24.65053,,Point,node/394139131,school,SCOALA GENERALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7712315,27.6862119,,Point,node/411001109,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.6348593,25.6351472,,Point,node/412264183,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7959683,24.1553111,,Point,node/415560537,school,CENTRUL SCOLAR PENTRU EDUCATIE INCLUZIVA,,,18,Strada Filarmonicii,,,,,Sibiu,550165,Sibiu,Romania,Sibiu,,,,,"Date de la Posta Româna, publicate sub Licenta pentru Guvernare Deschisa v10 la http://dategovro/organization/posta romana",,RO,,,,,,,,,,,,,,,,,,,,,,,,
46.1528249,24.7225466,,Point,node/416989603,school,SCOALA GENERALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2008617,27.3183373,,Point,node/417771537,school,LICEUL AGRICOL SANDU ALDEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9797469,25.3573635,,Point,node/427674327,school,SCOALA GENERALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2136154,26.4453528,,Point,node/428041191,school,SCOALA CU CLASELE I VIII NR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.1165227,24.3746495,,Point,node/430267621,school,COLEGIUL AGRICOL DIMITRIE PETRESCU,,,,,,,,,,,,,,,,,,,,,wami 20090615 000108 24374539 44117115jpg,,,,,,,,,,,,,,,,,,,,,,,
44.4186504,26.162199,,Point,node/436233861,school,SFANTUL ANDREI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1541891,27.5712652,,Point,node/442871002,school,SCOALA NR 34 ION SIMIONESCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.554096,28.5946245,,Point,node/444319986,school,,,,,,,,,,Techirghiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4842108,26.553224,,Point,node/444361321,school,SCOALA NR 178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.4648529,26.704097,,Point,node/444362715,school,LICEUL NICOLAE IORGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
